Year,Depth,Area,Catchment,ResTime,TP,DOC,SD,SD_Summer,MinWeek,MaxWeek 
2014,19.8,3.6,445.1,0.1,110.0,8.8,1.2,0.6,NaN,21.0 
2015,19.8,3.6,445.1,0.1,95.0,6.8,NaN,NaN,NaN,NaN 
2016,19.8,3.6,445.1,0.1,99.0,7.8,1.6,1.1,NaN,21.0 
2017,19.8,3.6,445.1,0.1,96.0,6.9,1.8,1.3,8.0,19.0 
2018,19.8,3.6,445.1,0.1,100.0,7.6,1.4,0.7,15.0,21.0 
2019,19.8,3.6,445.1,0.1,95.0,7.1,1.7,1.7,9.0,17.0 
2020,19.8,3.6,445.1,0.1,120.0,7.9,1.8,0.9,NaN,19.0 
2021,19.8,3.6,445.1,0.1,80.0,6.7,1.8,1.0,9.0,19.0 
2022,19.8,3.6,445.1,0.1,110.0,7.9,1.8,0.8,NaN,17.0 
2023,19.8,3.6,445.1,0.1,120.0,7.5,1.7,0.6,10.0,19.0 
2024,19.8,3.6,445.1,0.1,110.0,6.9,1.9,1.1,14.0,17.0 
1991,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1992,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1993,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1994,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1995,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1996,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1997,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1998,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
1999,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
2000,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
2001,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
2002,19.8,3.6,445.1,0.1,NaN,NaN,NaN,NaN,NaN,NaN 
2003,19.8,3.6,445.1,0.1,125.0,8.0,0.4,0.4,NaN,27.0 
2004,19.8,3.6,445.1,0.1,53.0,5.3,0.7,0.4,NaN,15.0 
2005,19.8,3.6,445.1,0.1,51.0,7.6,1.4,0.8,NaN,20.0 
2006,19.8,3.6,445.1,0.1,62.0,6.8,0.9,0.5,NaN,24.0 
2007,19.8,3.6,445.1,0.1,NaN,NaN,1.2,0.6,NaN,18.0 
2008,19.8,3.6,445.1,0.1,68.0,6.5,1.4,0.6,NaN,19.0 
2009,19.8,3.6,445.1,0.1,70.0,NaN,1.2,0.6,NaN,18.0 
2010,19.8,3.6,445.1,0.1,NaN,NaN,1.1,0.6,NaN,23.0 
2011,19.8,3.6,445.1,0.1,100.0,6.0,1.2,0.6,NaN,20.0 
2012,19.8,3.6,445.1,0.1,NaN,NaN,1.2,0.7,NaN,21.0 
2013,19.8,3.6,445.1,0.1,75.0,6.7,1.1,0.7,NaN,22.0 
2014,19.8,3.6,445.1,0.1,110.0,8.8,0.9,0.4,NaN,20.0 
2015,19.8,3.6,445.1,0.1,95.0,6.9,0.9,0.5,NaN,21.0 
2016,19.8,3.6,445.1,0.1,94.0,8.0,1.1,0.7,NaN,21.0 
2017,19.8,3.6,445.1,0.1,100.0,7.2,1.2,0.6,NaN,21.0 
2018,19.8,3.6,445.1,0.1,96.0,7.0,0.9,0.4,NaN,22.0 
2019,19.8,3.6,445.1,0.1,100.0,7.5,NaN,NaN,NaN,NaN 
2020,19.8,3.6,445.1,0.1,110.0,8.4,NaN,NaN,NaN,NaN 
2021,19.8,3.6,445.1,0.1,130.0,6.9,1.6,0.9,NaN,20.0 
2022,19.8,3.6,445.1,0.1,110.0,7.9,1.4,0.7,NaN,18.0 
2023,19.8,3.6,445.1,0.1,120.0,7.4,1.7,0.7,NaN,19.0 
2024,19.8,3.6,445.1,0.1,110.0,7.1,1.4,0.9,NaN,21.0 
1991,4.5,0.1,1.0,0.9,NaN,NaN,1.5,1.2,NaN,26.0 
1992,4.5,0.1,1.0,0.9,533.0,NaN,1.2,0.8,NaN,22.0 
1993,4.5,0.1,1.0,0.9,433.0,13.8,1.2,0.8,NaN,20.0 
1994,4.5,0.1,1.0,0.9,504.0,14.1,1.6,1.1,NaN,21.0 
1995,4.5,0.1,1.0,0.9,565.0,15.3,1.3,0.7,NaN,21.0 
1996,4.5,0.1,1.0,0.9,233.0,13.3,1.6,0.9,NaN,20.0 
1997,4.5,0.1,1.0,0.9,315.0,16.4,1.3,0.7,NaN,18.0 
1998,4.5,0.1,1.0,0.9,314.0,9.7,1.4,0.9,NaN,17.0 
1999,4.5,0.1,1.0,0.9,283.0,12.3,1.4,0.7,NaN,16.0 
2000,4.5,0.1,1.0,0.9,307.0,NaN,1.2,0.6,NaN,16.0 
2001,4.5,0.1,1.0,0.9,353.0,12.3,1.6,1.2,NaN,19.0 
2002,4.5,0.1,1.0,0.9,160.0,17.2,1.0,0.8,NaN,19.0 
2003,4.5,0.1,1.0,0.9,166.0,12.5,1.3,0.9,NaN,19.0 
2004,4.5,0.1,1.0,0.9,232.0,11.8,1.6,1.0,NaN,17.0 
2005,4.5,0.1,1.0,0.9,233.0,13.8,2.0,NaN,NaN,NaN 
2006,4.5,0.1,1.0,0.9,128.0,13.4,1.1,0.8,NaN,17.0 
2007,4.5,0.1,1.0,0.9,229.0,NaN,1.2,0.8,NaN,17.0 
2008,4.5,0.1,1.0,0.9,189.0,12.0,1.3,0.8,NaN,17.0 
2009,4.5,0.1,1.0,0.9,209.0,NaN,1.5,0.9,NaN,19.0 
2010,4.5,0.1,1.0,0.9,227.0,NaN,1.2,0.8,NaN,20.0 
2011,4.5,0.1,1.0,0.9,120.0,12.0,0.7,0.5,NaN,17.0 
2012,4.5,0.1,1.0,0.9,220.0,11.0,1.1,1.0,NaN,18.0 
2013,4.5,0.1,1.0,0.9,280.0,11.0,1.2,1.1,NaN,22.0 
2014,4.5,0.1,1.0,0.9,250.0,12.0,1.0,0.8,NaN,19.0 
2015,4.5,0.1,1.0,0.9,210.0,12.0,1.0,0.7,NaN,20.0 
2016,4.5,0.1,1.0,0.9,210.0,14.0,NaN,NaN,NaN,NaN 
2017,4.5,0.1,1.0,0.9,180.0,13.0,NaN,NaN,NaN,NaN 
2018,4.5,0.1,1.0,0.9,110.0,14.0,0.6,0.5,NaN,20.0 
2019,4.5,0.1,1.0,0.9,290.0,15.0,1.0,0.9,NaN,24.0 
2020,4.5,0.1,1.0,0.9,160.0,16.0,0.5,0.4,NaN,NaN 
2021,4.5,0.1,1.0,0.9,120.0,12.0,1.5,NaN,NaN,NaN 
2022,4.5,0.1,1.0,0.9,120.0,12.0,NaN,NaN,NaN,NaN 
2023,4.5,0.1,1.0,0.9,190.0,14.0,1.0,0.8,NaN,23.0 
2024,4.5,0.1,1.0,0.9,99.0,13.0,NaN,NaN,NaN,NaN 
1991,5.4,0.3,695.8,NaN,NaN,NaN,1.1,1.0,NaN,20.0 
1992,5.4,0.3,695.8,NaN,149.0,NaN,1.0,0.7,16.0,20.0 
1993,5.4,0.3,695.8,NaN,192.0,7.4,1.4,1.2,15.0,18.0 
1994,5.4,0.3,695.8,NaN,136.0,8.8,1.1,0.9,16.0,22.0 
1995,5.4,0.3,695.8,NaN,82.0,5.6,1.0,0.6,16.0,20.0 
1996,5.4,0.3,695.8,NaN,98.0,6.5,1.3,1.0,NaN,18.0 
1997,5.4,0.3,695.8,NaN,141.0,6.1,1.3,0.8,16.0,21.0 
1998,5.4,0.3,695.8,NaN,130.0,10.1,1.2,1.2,14.0,20.0 
1999,5.4,0.3,695.8,NaN,187.0,8.1,1.2,0.8,15.0,18.0 
2000,5.4,0.3,695.8,NaN,89.0,7.8,1.2,0.8,16.0,18.0 
2001,5.4,0.3,695.8,NaN,71.0,7.3,1.2,0.9,NaN,21.0 
2002,5.4,0.3,695.8,NaN,226.0,9.3,1.3,1.0,NaN,21.0 
2003,5.4,0.3,695.8,NaN,171.0,8.6,1.2,0.9,NaN,22.0 
2004,5.4,0.3,695.8,NaN,73.0,6.9,1.0,0.8,NaN,20.0 
2005,5.4,0.3,695.8,NaN,70.0,9.3,1.1,0.8,NaN,19.0 
2006,5.4,0.3,695.8,NaN,96.0,6.7,1.0,0.7,15.0,21.0 
2007,5.4,0.3,695.8,NaN,186.0,NaN,1.2,0.8,NaN,19.0 
2008,5.4,0.3,695.8,NaN,89.0,8.2,1.2,0.8,NaN,20.0 
2009,5.4,0.3,695.8,NaN,132.0,NaN,2.1,2.2,NaN,18.0 
2010,5.4,0.3,695.8,NaN,125.0,NaN,1.3,0.9,NaN,20.0 
2011,5.4,0.3,695.8,NaN,100.0,8.5,1.2,1.0,NaN,18.0 
2012,5.4,0.3,695.8,NaN,100.0,7.2,1.2,0.9,NaN,19.0 
2013,5.4,0.3,695.8,NaN,89.0,7.3,1.2,0.9,NaN,21.0 
2014,5.4,0.3,695.8,NaN,170.0,8.4,1.2,0.9,NaN,19.0 
2015,5.4,0.3,695.8,NaN,110.0,7.9,1.3,0.9,NaN,20.0 
2016,5.4,0.3,695.8,NaN,150.0,8.4,1.2,0.8,NaN,20.0 
2017,5.4,0.3,695.8,NaN,110.0,9.1,1.9,1.6,NaN,19.0 
2018,5.4,0.3,695.8,NaN,110.0,7.7,1.5,1.0,NaN,19.0 
2019,5.4,0.3,695.8,NaN,110.0,9.0,1.9,1.8,NaN,19.0 
2020,5.4,0.3,695.8,NaN,250.0,8.0,1.7,1.4,NaN,19.0 
2021,5.4,0.3,695.8,NaN,110.0,7.7,2.1,2.0,NaN,21.0 
2022,5.4,0.3,695.8,NaN,160.0,7.8,2.0,1.8,NaN,19.0 
2023,5.4,0.3,695.8,NaN,190.0,9.8,1.9,2.0,NaN,20.0 
2024,5.4,0.3,695.8,NaN,110.0,8.2,NaN,NaN,NaN,NaN 
1991,2.9,0.4,5.8,0.3,NaN,NaN,1.2,1.0,NaN,15.0 
1992,2.9,0.4,5.8,0.3,115.0,NaN,1.1,0.6,NaN,15.0 
1993,2.9,0.4,5.8,0.3,120.0,11.4,1.1,1.2,NaN,17.0 
1994,2.9,0.4,5.8,0.3,113.0,9.5,1.2,0.9,NaN,16.0 
1995,2.9,0.4,5.8,0.3,57.0,6.4,1.1,0.8,6.0,15.0 
1996,2.9,0.4,5.8,0.3,71.0,9.2,0.8,0.5,NaN,NaN 
1997,2.9,0.4,5.8,0.3,80.0,6.8,1.2,1.1,10.0,NaN 
1998,2.9,0.4,5.8,0.3,119.0,6.6,1.4,1.4,NaN,15.0 
1999,2.9,0.4,5.8,0.3,132.0,9.7,1.1,NaN,9.0,NaN 
2000,2.9,0.4,5.8,0.3,58.0,NaN,1.4,1.4,NaN,15.0 
2001,2.9,0.4,5.8,0.3,50.0,9.3,1.3,1.3,NaN,15.0 
2002,2.9,0.4,5.8,0.3,80.0,9.1,1.2,0.9,9.0,15.0 
2003,2.9,0.4,5.8,0.3,56.0,9.9,2.2,1.7,NaN,15.0 
2004,2.9,0.4,5.8,0.3,47.0,8.3,2.2,2.2,12.0,16.0 
2005,2.9,0.4,5.8,0.3,57.0,12.3,2.3,1.9,NaN,15.0 
2006,2.9,0.4,5.8,0.3,102.0,10.7,1.9,1.6,NaN,22.0 
2007,2.9,0.4,5.8,0.3,89.0,NaN,2.4,2.4,NaN,15.0 
2008,2.9,0.4,5.8,0.3,61.0,11.0,2.0,1.8,NaN,15.0 
2009,2.9,0.4,5.8,0.3,126.0,NaN,1.7,1.2,NaN,15.0 
2010,2.9,0.4,5.8,0.3,160.0,NaN,1.9,1.5,NaN,15.0 
2011,2.9,0.4,5.8,0.3,100.0,9.1,1.8,1.6,7.0,18.0 
2012,2.9,0.4,5.8,0.3,40.0,7.5,1.9,0.9,NaN,15.0 
2013,2.9,0.4,5.8,0.3,69.0,8.1,1.7,1.5,NaN,22.0 
2014,2.9,0.4,5.8,0.3,79.0,9.3,1.9,0.7,NaN,15.0 
2015,2.9,0.4,5.8,0.3,140.0,NaN,2.0,1.4,NaN,15.0 
2016,2.9,0.4,5.8,0.3,92.0,14.0,1.9,0.8,NaN,15.0 
2017,2.9,0.4,5.8,0.3,72.0,9.2,2.2,2.4,12.0,16.0 
2018,2.9,0.4,5.8,0.3,160.0,19.0,1.2,0.4,NaN,15.0 
2019,2.9,0.4,5.8,0.3,76.0,11.0,1.9,1.4,10.0,15.0 
2020,2.9,0.4,5.8,0.3,230.0,12.0,1.9,1.2,8.0,16.0 
2021,2.9,0.4,5.8,0.3,110.0,12.0,1.7,0.9,14.0,19.0 
2022,2.9,0.4,5.8,0.3,200.0,9.8,1.9,1.9,8.0,15.0 
2023,2.9,0.4,5.8,0.3,84.0,12.0,1.4,0.6,12.0,15.0 
2024,2.9,0.4,5.8,0.3,100.0,11.0,1.3,0.5,14.0,19.0 
1991,5.8,0.3,14.7,0.2,NaN,NaN,1.1,0.4,15.0,19.0 
1992,5.8,0.3,14.7,0.2,165.0,NaN,1.6,0.9,15.0,21.0 
1993,5.8,0.3,14.7,0.2,127.0,7.8,1.7,1.0,NaN,21.0 
1994,5.8,0.3,14.7,0.2,132.0,8.5,1.8,1.0,NaN,19.0 
1995,5.8,0.3,14.7,0.2,38.0,4.4,1.8,1.0,NaN,23.0 
1996,5.8,0.3,14.7,0.2,73.0,7.1,1.8,1.0,NaN,23.0 
1997,5.8,0.3,14.7,0.2,60.0,6.5,1.4,1.0,16.0,24.0 
1998,5.8,0.3,14.7,0.2,193.0,8.1,1.8,1.8,12.0,24.0 
1999,5.8,0.3,14.7,0.2,175.0,8.9,1.4,1.1,14.0,20.0 
2000,5.8,0.3,14.7,0.2,33.0,NaN,1.7,1.5,15.0,25.0 
2001,5.8,0.3,14.7,0.2,71.0,9.7,1.9,1.8,18.0,25.0 
2002,5.8,0.3,14.7,0.2,96.0,11.6,1.9,2.2,14.0,26.0 
2003,5.8,0.3,14.7,0.2,65.0,5.4,2.0,2.3,16.0,26.0 
2004,5.8,0.3,14.7,0.2,69.0,7.8,2.4,3.6,13.0,27.0 
2005,5.8,0.3,14.7,0.2,135.0,8.9,2.2,1.9,17.0,25.0 
2006,5.8,0.3,14.7,0.2,52.0,7.9,2.1,2.3,NaN,26.0 
2007,5.8,0.3,14.7,0.2,104.0,NaN,2.3,2.2,18.0,25.0 
2008,5.8,0.3,14.7,0.2,130.0,8.3,2.0,2.1,NaN,26.0 
2009,5.8,0.3,14.7,0.2,185.0,NaN,2.1,1.8,15.0,24.0 
2010,5.8,0.3,14.7,0.2,NaN,NaN,2.2,1.4,NaN,23.0 
2011,5.8,0.3,14.7,0.2,70.0,7.4,2.4,2.4,NaN,25.0 
2012,5.8,0.3,14.7,0.2,70.0,6.2,2.5,2.3,NaN,26.0 
2013,5.8,0.3,14.7,0.2,80.0,6.8,NaN,NaN,NaN,NaN 
2014,5.8,0.3,14.7,0.2,180.0,6.8,2.2,2.1,NaN,24.0 
2015,5.8,0.3,14.7,0.2,150.0,9.1,2.8,2.5,NaN,25.0 
2016,5.8,0.3,14.7,0.2,150.0,6.3,2.9,3.0,NaN,27.0 
2017,5.8,0.3,14.7,0.2,150.0,10.0,2.5,2.3,NaN,24.0 
2018,5.8,0.3,14.7,0.2,82.0,5.7,2.0,1.2,NaN,24.0 
2019,5.8,0.3,14.7,0.2,150.0,9.0,NaN,NaN,NaN,NaN 
2020,5.8,0.3,14.7,0.2,130.0,6.5,NaN,NaN,NaN,NaN 
2021,5.8,0.3,14.7,0.2,100.0,8.1,1.7,1.9,NaN,NaN 
2022,5.8,0.3,14.7,0.2,120.0,5.7,1.8,1.2,14.0,19.0 
2023,5.8,0.3,14.7,0.2,180.0,11.0,1.8,1.5,12.0,20.0 
2024,5.8,0.3,14.7,0.2,97.0,8.8,1.8,1.7,NaN,19.0 
1991,44.0,1.3,6.5,10.0,NaN,NaN,3.5,4.2,15.0,NaN 
1992,44.0,1.3,6.5,10.0,105.0,NaN,3.6,3.7,NaN,27.0 
1993,44.0,1.3,6.5,10.0,107.0,3.9,3.4,2.9,NaN,21.0 
1994,44.0,1.3,6.5,10.0,79.0,3.4,3.6,4.1,17.0,30.0 
1995,44.0,1.3,6.5,10.0,81.0,4.3,3.6,3.2,17.0,26.0 
1996,44.0,1.3,6.5,10.0,44.0,3.8,4.0,4.0,NaN,23.0 
1997,44.0,1.3,6.5,10.0,101.0,4.0,3.6,3.4,NaN,22.0 
1998,44.0,1.3,6.5,10.0,79.0,3.5,3.8,3.5,NaN,21.0 
1999,44.0,1.3,6.5,10.0,74.0,3.3,3.5,3.1,15.0,28.0 
2000,44.0,1.3,6.5,10.0,20.0,NaN,3.5,3.0,NaN,20.0 
2001,44.0,1.3,6.5,10.0,47.0,4.1,2.6,2.9,17.0,26.0 
2002,44.0,1.3,6.5,10.0,62.0,6.3,3.1,2.9,NaN,22.0 
2003,44.0,1.3,6.5,10.0,51.0,6.0,3.1,3.5,NaN,22.0 
2004,44.0,1.3,6.5,10.0,48.0,4.6,2.6,2.5,NaN,20.0 
2005,44.0,1.3,6.5,10.0,39.0,6.8,3.6,4.3,15.0,25.0 
2006,44.0,1.3,6.5,10.0,28.0,5.7,3.5,3.7,NaN,22.0 
2007,44.0,1.3,6.5,10.0,115.0,NaN,4.5,4.1,15.0,18.0 
2008,44.0,1.3,6.5,10.0,93.0,4.6,3.8,4.1,14.0,23.0 
2009,44.0,1.3,6.5,10.0,90.0,NaN,3.6,3.1,NaN,27.0 
2010,44.0,1.3,6.5,10.0,96.0,NaN,3.7,3.6,NaN,NaN 
2011,44.0,1.3,6.5,10.0,77.0,NaN,3.6,2.9,NaN,18.0 
2012,44.0,1.3,6.5,10.0,60.0,NaN,4.2,3.4,NaN,23.0 
2013,44.0,1.3,6.5,10.0,60.0,NaN,5.5,5.5,NaN,21.0 
2014,44.0,1.3,6.5,10.0,45.0,NaN,4.4,3.5,NaN,20.0 
2015,44.0,1.3,6.5,10.0,74.0,NaN,4.9,4.8,NaN,25.0 
2016,44.0,1.3,6.5,10.0,52.0,NaN,3.5,2.5,NaN,20.0 
2017,44.0,1.3,6.5,10.0,65.0,NaN,2.6,2.5,NaN,23.0 
2018,44.0,1.3,6.5,10.0,68.0,NaN,3.0,NaN,17.0,NaN 
2019,44.0,1.3,6.5,10.0,NaN,NaN,NaN,NaN,NaN,NaN 
2020,44.0,1.3,6.5,10.0,57.0,NaN,NaN,NaN,NaN,NaN 
2021,44.0,1.3,6.5,10.0,39.0,NaN,NaN,NaN,NaN,NaN 
2022,44.0,1.3,6.5,10.0,17.0,NaN,NaN,NaN,NaN,NaN 
2023,44.0,1.3,6.5,10.0,46.0,NaN,NaN,NaN,NaN,NaN 
2024,44.0,1.3,6.5,10.0,83.0,NaN,NaN,NaN,NaN,NaN 
1991,36.8,21.2,60.0,15.4,NaN,NaN,1.2,0.9,NaN,15.0 
1992,36.8,21.2,60.0,15.4,NaN,NaN,1.2,1.0,NaN,15.0 
1993,36.8,21.2,60.0,15.4,41.0,4.2,0.9,0.8,NaN,24.0 
1994,36.8,21.2,60.0,15.4,83.0,6.8,1.2,1.2,NaN,23.0 
1995,36.8,21.2,60.0,15.4,68.0,3.9,1.1,1.1,14.0,25.0 
1996,36.8,21.2,60.0,15.4,62.0,6.5,1.1,1.1,NaN,19.0 
1997,36.8,21.2,60.0,15.4,47.0,6.2,1.1,1.1,NaN,25.0 
1998,36.8,21.2,60.0,15.4,56.0,5.5,0.9,1.0,NaN,20.0 
1999,36.8,21.2,60.0,15.4,75.0,8.3,1.0,1.0,NaN,25.0 
2000,36.8,21.2,60.0,15.4,26.0,6.5,0.9,1.0,NaN,27.0 
2001,36.8,21.2,60.0,15.4,36.0,5.3,0.9,1.0,NaN,21.0 
2002,36.8,21.2,60.0,15.4,75.0,8.6,0.9,0.7,NaN,19.0 
2003,36.8,21.2,60.0,15.4,31.0,6.3,0.9,0.8,NaN,24.0 
2004,36.8,21.2,60.0,15.4,31.0,5.5,1.0,1.0,NaN,16.0 
2005,36.8,21.2,60.0,15.4,29.0,5.9,1.0,1.1,NaN,19.0 
2006,36.8,21.2,60.0,15.4,54.0,6.3,1.0,1.1,NaN,25.0 
2007,36.8,21.2,60.0,15.4,NaN,NaN,1.0,1.0,NaN,24.0 
2008,36.8,21.2,60.0,15.4,51.0,5.8,1.0,1.0,NaN,22.0 
2009,36.8,21.2,60.0,15.4,92.0,NaN,1.1,1.1,NaN,17.0 
2010,36.8,21.2,60.0,15.4,68.0,NaN,1.1,1.0,NaN,26.0 
2011,36.8,21.2,60.0,15.4,40.0,5.6,1.0,1.0,NaN,19.0 
2012,36.8,21.2,60.0,15.4,30.0,NaN,NaN,NaN,NaN,NaN 
2013,36.8,21.2,60.0,15.4,18.0,5.6,NaN,NaN,NaN,NaN 
2014,36.8,21.2,60.0,15.4,47.0,NaN,NaN,NaN,NaN,NaN 
2015,36.8,21.2,60.0,15.4,21.0,5.6,1.2,1.3,NaN,29.0 
2016,36.8,21.2,60.0,15.4,24.0,6.5,1.2,1.2,NaN,15.0 
2017,36.8,21.2,60.0,15.4,58.0,6.7,1.1,1.1,NaN,21.0 
2018,36.8,21.2,60.0,15.4,53.0,5.7,1.2,1.3,NaN,20.0 
2019,36.8,21.2,60.0,15.4,23.0,5.7,1.1,1.2,NaN,30.0 
2020,36.8,21.2,60.0,15.4,22.0,5.5,1.2,1.2,NaN,22.0 
2021,36.8,21.2,60.0,15.4,20.0,5.2,1.1,1.2,NaN,15.0 
2022,36.8,21.2,60.0,15.4,10.0,6.0,1.3,1.3,NaN,15.0 
2023,36.8,21.2,60.0,15.4,47.0,7.5,1.1,1.2,NaN,23.0 
2024,36.8,21.2,60.0,15.4,51.0,NaN,1.1,1.2,NaN,21.0 
1991,36.8,21.2,60.0,15.4,NaN,NaN,4.2,3.7,NaN,25.0 
1992,36.8,21.2,60.0,15.4,NaN,NaN,4.8,4.1,NaN,25.0 
1993,36.8,21.2,60.0,15.4,NaN,NaN,4.9,4.8,NaN,30.0 
1994,36.8,21.2,60.0,15.4,NaN,NaN,5.5,5.8,NaN,29.0 
1995,36.8,21.2,60.0,15.4,NaN,NaN,5.4,6.0,12.0,20.0 
1996,36.8,21.2,60.0,15.4,NaN,NaN,5.2,5.8,NaN,26.0 
1997,36.8,21.2,60.0,15.4,NaN,NaN,4.8,4.9,NaN,26.0 
1998,36.8,21.2,60.0,15.4,NaN,NaN,4.8,4.9,NaN,25.0 
1999,36.8,21.2,60.0,15.4,NaN,NaN,4.4,3.9,NaN,25.0 
2000,36.8,21.2,60.0,15.4,NaN,NaN,4.8,5.7,NaN,23.0 
2001,36.8,21.2,60.0,15.4,NaN,NaN,4.2,4.4,NaN,22.0 
2002,36.8,21.2,60.0,15.4,NaN,NaN,3.5,2.8,NaN,22.0 
2003,36.8,21.2,60.0,15.4,NaN,NaN,4.5,4.3,NaN,25.0 
2004,36.8,21.2,60.0,15.4,NaN,NaN,4.5,4.1,NaN,24.0 
2005,36.8,21.2,60.0,15.4,NaN,NaN,4.5,4.7,NaN,26.0 
2006,36.8,21.2,60.0,15.4,NaN,NaN,4.2,4.5,NaN,24.0 
2007,36.8,21.2,60.0,15.4,NaN,NaN,4.5,4.5,NaN,24.0 
2008,36.8,21.2,60.0,15.4,NaN,NaN,3.7,3.8,NaN,22.0 
2009,36.8,21.2,60.0,15.4,NaN,NaN,4.0,3.7,NaN,25.0 
2010,36.8,21.2,60.0,15.4,NaN,NaN,3.7,4.2,NaN,26.0 
2011,36.8,21.2,60.0,15.4,NaN,NaN,4.2,4.0,NaN,22.0 
2012,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
2013,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
2014,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
2015,36.8,21.2,60.0,15.4,NaN,NaN,4.7,4.7,NaN,25.0 
2016,36.8,21.2,60.0,15.4,NaN,NaN,4.5,4.2,NaN,24.0 
2017,36.8,21.2,60.0,15.4,NaN,NaN,4.4,5.0,NaN,24.0 
2018,36.8,21.2,60.0,15.4,NaN,NaN,3.7,3.3,NaN,24.0 
2019,36.8,21.2,60.0,15.4,NaN,NaN,4.4,4.2,NaN,25.0 
2020,36.8,21.2,60.0,15.4,NaN,NaN,4.3,3.6,NaN,23.0 
2021,36.8,21.2,60.0,15.4,NaN,NaN,5.7,4.9,NaN,18.0 
2022,36.8,21.2,60.0,15.4,NaN,NaN,5.2,5.2,NaN,15.0 
2023,36.8,21.2,60.0,15.4,NaN,NaN,5.3,4.9,NaN,21.0 
2024,36.8,21.2,60.0,15.4,NaN,NaN,4.8,4.7,NaN,16.0 
1991,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
1992,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
1993,36.8,21.2,60.0,15.4,69.0,2.0,NaN,NaN,NaN,NaN 
1994,36.8,21.2,60.0,15.4,195.0,6.6,5.1,5.2,NaN,30.0 
1995,36.8,21.2,60.0,15.4,23.0,3.7,5.1,5.7,14.0,29.0 
1996,36.8,21.2,60.0,15.4,35.0,5.5,5.0,5.5,NaN,26.0 
1997,36.8,21.2,60.0,15.4,31.0,4.5,4.6,4.6,NaN,24.0 
1998,36.8,21.2,60.0,15.4,28.0,4.3,4.6,4.6,NaN,25.0 
1999,36.8,21.2,60.0,15.4,95.0,7.9,4.3,3.7,17.0,25.0 
2000,36.8,21.2,60.0,15.4,20.0,6.9,4.7,5.7,14.0,23.0 
2001,36.8,21.2,60.0,15.4,32.0,5.4,4.0,4.2,NaN,22.0 
2002,36.8,21.2,60.0,15.4,54.0,6.0,3.4,2.8,14.0,22.0 
2003,36.8,21.2,60.0,15.4,34.0,5.3,4.1,3.9,NaN,24.0 
2004,36.8,21.2,60.0,15.4,29.0,3.6,3.9,4.1,NaN,20.0 
2005,36.8,21.2,60.0,15.4,25.0,5.9,4.2,4.2,17.0,26.0 
2006,36.8,21.2,60.0,15.4,52.0,6.8,3.9,4.2,NaN,25.0 
2007,36.8,21.2,60.0,15.4,211.0,NaN,4.4,4.8,12.0,24.0 
2008,36.8,21.2,60.0,15.4,74.0,5.8,3.5,3.6,13.0,22.0 
2009,36.8,21.2,60.0,15.4,63.0,NaN,3.3,3.2,NaN,25.0 
2010,36.8,21.2,60.0,15.4,71.0,NaN,3.2,3.5,NaN,26.0 
2011,36.8,21.2,60.0,15.4,52.0,NaN,3.0,2.9,14.0,24.0 
2012,36.8,21.2,60.0,15.4,30.0,5.5,NaN,NaN,NaN,NaN 
2013,36.8,21.2,60.0,15.4,NaN,NaN,NaN,NaN,NaN,NaN 
2014,36.8,21.2,60.0,15.4,26.0,5.5,NaN,NaN,NaN,NaN 
2015,36.8,21.2,60.0,15.4,18.0,5.2,3.6,4.1,17.0,29.0 
2016,36.8,21.2,60.0,15.4,17.0,6.1,3.6,3.4,NaN,23.0 
2017,36.8,21.2,60.0,15.4,31.0,5.9,3.9,4.5,14.0,24.0 
2018,36.8,21.2,60.0,15.4,36.0,5.6,3.4,3.1,NaN,26.0 
2019,36.8,21.2,60.0,15.4,23.0,5.7,3.8,3.6,16.0,25.0 
2020,36.8,21.2,60.0,15.4,22.0,5.3,3.8,3.4,12.0,23.0 
2021,36.8,21.2,60.0,15.4,24.0,5.1,4.6,4.7,14.0,19.0 
2022,36.8,21.2,60.0,15.4,32.0,5.8,5.1,5.5,12.0,18.0 
2023,36.8,21.2,60.0,15.4,53.0,6.7,3.9,4.3,13.0,27.0 
2024,36.8,21.2,60.0,15.4,41.0,5.8,4.3,4.8,NaN,30.0 
